gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000240265	AC099328.1	0	0	2	0
ENSG00000240268	MOXD2P	0	0	0	0
ENSG00000240270	RPL12P37	0	0	0	0
ENSG00000240271	AC090142.1	0	0	0	0
ENSG00000240280	TCAM1P	0	0	0	0
ENSG00000240281	AC034222.1	0	0	0	0
ENSG00000240286	MEAF6P1	0	0	0	0
ENSG00000240288	GHRLOS	34	53	20	30
ENSG00000240291	AL450384.2	19	21	35	23
ENSG00000240294	RN7SKP241	0	0	0	0
ENSG00000240296	AC245052.5	0	0	0	0
ENSG00000240298	RPL36AP40	0	0	0	0
ENSG00000240299	RN7SL187P	0	0	0	0
ENSG00000240302	RN7SL717P	0	0	0	0
ENSG00000240303	ACAD11	114.295	135.648	482.182	85.237
ENSG00000240305	AC091152.1	0	0	0	0
ENSG00000240306	RN7SL100P	0	0	0	0
ENSG00000240309	MTCO1P6	0	0	0	0
ENSG00000240311	AC004224.1	0	0	0	1
ENSG00000240317	RN7SL764P	0	0	0	0
ENSG00000240320	RPS29P27	0	0	0	0
ENSG00000240322	RN7SL481P	1	2	7	0
ENSG00000240327	RN7SL93P	0	0	0	0
ENSG00000240328	AC091805.1	0	0	0	0
ENSG00000240338	AC009078.2	0	0	0	0
ENSG00000240342	RPS2P5	2736.567	62.74	5998.926	54.889
ENSG00000240344	PPIL3	84.999	69	161	38.999
ENSG00000240347	RN7SL35P	0	0	0	0
ENSG00000240350	AC017002.3	0	1	31.001	0
ENSG00000240354	AC131211.1	0	0	0	0
ENSG00000240355	AC004869.2	0	0	0	0
ENSG00000240356	RPL23AP7	32.517	51.105	23.692	42.644
ENSG00000240359	UBL5P3	0	0	0	0
ENSG00000240361	OR4G11P	0	0	0	0
ENSG00000240364	RPL31P59	0	0	0	0
ENSG00000240366	RPL36AP45	6.001	0	1	5
ENSG00000240370	RPL13P5	66.504	48.681	77.288	58.965
ENSG00000240371	RPS4XP13	0	2.001	0	0
ENSG00000240373	SEC62-AS1	1	0	0	0
ENSG00000240374	RN7SL503P	0	0	1	0
ENSG00000240375	VPS26AP1	0	0	0	0
ENSG00000240376	AC010343.1	6.001	2.001	6.003	6.003
ENSG00000240382	IGKV1-17	138.628	17.976	11.213	78.249
ENSG00000240385	RPS29P20	0	0	2	0
ENSG00000240386	LCE1F	0	0	0	0
ENSG00000240388	AC008799.1	0	0	0	0
ENSG00000240392	RPL9P3	1	0	1	0
ENSG00000240393	AC092691.2	0	0	0	0
ENSG00000240395	RPL5P23	4.001	0	2.003	0
ENSG00000240399	AC004801.2	6	2	6	3
ENSG00000240401	AC012358.3	4	6	3	5
ENSG00000240403	KIR3DL2	53	58	101	24
ENSG00000240404	AC017015.1	0	0	0	0
ENSG00000240405	SAMMSON	0	0	0	0
ENSG00000240409	MTATP8P1	0	0	0	0
ENSG00000240411	RPL5P16	0	0	0	0
ENSG00000240412	RPL5P15	0	0	0	0
ENSG00000240416	CYCSP20	0	0	0	0
ENSG00000240418	AC020917.1	0	0	1	0
ENSG00000240419	AC022206.1	0	0	0	0
ENSG00000240423	LINC00636	0	0	0	0
