gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000279705	AC092701.1	0	0	0	0
ENSG00000279706	AL353608.4	0	0	0	0
ENSG00000279707	AC120349.3	0	0	0	0
ENSG00000279708	AC133637.1	0	0	0	0
ENSG00000279709	CU633906.3	0	0	0	0
ENSG00000279711	AP004782.1	0	0	0	0
ENSG00000279712	FP325330.3	0	0	0	0
ENSG00000279713	AC080038.3	0	0.033429	0	0
ENSG00000279714	Z95114.2	0	0	0	0
ENSG00000279715	AL161912.4	0	0	0	0
ENSG00000279716	AC006128.1	0.108468	0.219769	0.237075	0.052141
ENSG00000279717	AC005336.3	0	0.035607	0	0
ENSG00000279718	SNX18P12	0.207346	0.101263	0.242143	0
ENSG00000279719	AC015871.6	0	0	2.684885	0.147336
ENSG00000279720	CR392039.5	0.15043	0	0	0
ENSG00000279721	AC018737.2	0	0	0	0.038639
ENSG00000279722	AC007342.7	0.065211	0.233636	0.130261	0.119414
ENSG00000279724	AC005086.3	0	0	0	0
ENSG00000279725	AL391005.1	0	0	0	0
ENSG00000279726	AC005609.5	0.022965	0	0	0
ENSG00000279727	LINC02033	0.025335	0.148853	0.755679	0.194875
ENSG00000279728	CU638689.2	0	0	0	0
ENSG00000279729	AC092326.1	0	0	0	0
ENSG00000279730	KMT5AP1	0	0.061723	0	0.026215
ENSG00000279732	AC027279.3	0	0	0	0
ENSG00000279733	AP001642.1	0	0	0.036261	0
ENSG00000279734	AC090506.2	0	0	0	0
ENSG00000279735	AC124312.4	0	0	0	0
ENSG00000279737	AC112204.3	0	0	0	0
ENSG00000279738	AL022311.1	0.053991	0.077769	0.536929	0.072008
ENSG00000279739	AC011369.2	0	0	0	0
ENSG00000279741	AC007342.8	0.120419	0.880799	0.422068	0.360239
ENSG00000279742	AP000974.1	0.01821	0.013433	0	0.023342
ENSG00000279743	AC002090.1	0	0	0	0
ENSG00000279744	AC132938.5	0.571767	0.962871	4.3323	0.837635
ENSG00000279746	AC092850.1	0	0	0	0.040942
ENSG00000279747	AC130456.6	0	0	0	0
ENSG00000279748	AC008764.9	0.051862	0.089278	0.181281	0.199434
ENSG00000279749	AC093875.1	0	0	0	0
ENSG00000279750	AC239585.2	0	0	0	0
ENSG00000279751	FP475955.2	0	0	0	0
ENSG00000279752	AC011389.3	0	0	0	0
ENSG00000279753	AC011558.1	3.126716	2.240889	1.679596	4.304659
ENSG00000279754	AL162376.1	0	0	0	0
ENSG00000279755	AC091905.3	0	0	0	0
ENSG00000279756	AC012317.2	0	0	0	0
ENSG00000279757	AC132068.1	0	0	0.24923	0
ENSG00000279758	AC105339.5	0	0	0	0
ENSG00000279759	AC118344.2	0.627233	1.030246	1.747117	0.59033
ENSG00000279761	OR5D13	0	0	0	0
ENSG00000279762	AC005899.8	0	0	0	0
ENSG00000279764	AC009102.3	0.015312	0.045105	0	0
ENSG00000279765	AC013394.1	0.135719	0.138601	5.908278	0.126702
ENSG00000279766	AC067931.1	0.407077	0.416794	4.280577	0.260953
ENSG00000279769	CU639417.2	0	0	0	0
ENSG00000279770	LINC00552	0	0	0	0.021477
ENSG00000279771	AP000997.4	0	0	0	0
ENSG00000279772	AC026422.1	0	0	0	0
ENSG00000279773	AL050303.4	0	0	0	0
ENSG00000279774	AL590483.3	0	0	0	0
ENSG00000279775	AC004585.2	0	0	0	0
ENSG00000279778	AL445437.1	0	0	0	0
ENSG00000279779	AC009039.2	0	0	0	0
ENSG00000279780	AC138907.9	0	0	0	0
ENSG00000279781	AC079336.6	0	0.067353	0	0
ENSG00000279782	PPIAL4F	0	0.098155	0.115893	0
ENSG00000279783	AC018692.2	0	0	0	0
ENSG00000279784	FP236315.3	0	0	0	0
ENSG00000279785	AC008267.8	0	0	0	0
ENSG00000279786	AC105235.1	0.03683	0.036193	0.12878	0
ENSG00000279788	CU638689.3	0	0	0	0
ENSG00000279789	AC120114.3	0.678384	0.913366	3.034186	0.971879
ENSG00000279790	AL590552.1	0	0	0	0
ENSG00000279791	AC018892.3	0	0.012787	0	0.011108
ENSG00000279792	AC015909.5	0.366033	0.341018	1.649966	0.321026
ENSG00000279793	AP000676.3	0	0	0	0
ENSG00000279794	AC024580.1	0.242774	0.532682	1.276406	0.41501
ENSG00000279795	AC138907.10	0	0	0	0
ENSG00000279796	AL133384.2	0.014493	0.032089	0.861073	0.027865
ENSG00000279797	LINC02339	0	0	0	0
ENSG00000279798	AC018659.8	0	0	0	0
ENSG00000279799	AC006077.2	0.787252	0.726713	6.023285	0.458703
ENSG00000279800	BCLAF1P2	0.010917	0.016303	0.175881	0
ENSG00000279801	AC111170.3	1.434179	2.297822	1.599287	2.176711
ENSG00000279803	AC009090.5	0.095456	0.30979	0.600643	0.159067
ENSG00000279804	PRAMEF18	0	0.015701	0	0
ENSG00000279805	Z95114.3	0.403815	0.408252	2.218696	0.488051
ENSG00000279806	AC018629.1	0.012906	0.019021	0.045132	0
ENSG00000279807	AC011472.5	0.060671	0	0	0
ENSG00000279809	AC005538.2	0.298183	0	0.449666	0.229336
ENSG00000279810	AL109924.3	0	0	0	0
ENSG00000279811	AC093330.2	0.0632	0.062226	0.625708	0.033753
ENSG00000279812	AC120057.4	0	0	0	0
ENSG00000279813	CR392000.1	0	0	0	0
ENSG00000279814	AC010997.6	0	0.020196	0.431391	0.01757
ENSG00000279815	AC020763.5	0	0	0	0
ENSG00000279817	AC073911.2	0	0.064719	0	0.283912
ENSG00000279818	AP002991.1	0	0	0	0
ENSG00000279819	AL390318.1	0.078864	0.057696	2.211227	0
ENSG00000279821	AC145098.2	0.063569	0.396205	0.567762	1.566285
ENSG00000279822	AC016397.2	0.044517	0.065641	0.038911	0.014266
ENSG00000279825	AC003957.1	0.074461	0	0.169072	0
ENSG00000279827	AC136469.2	0.260033	0.138953	0.992983	0.212135
ENSG00000279829	AC015959.1	0	0	0.117302	0
ENSG00000279833	AL031846.2	0.074873	0.110564	0.080505	0.051677
ENSG00000279834	AC068870.3	0	0	0.149081	0
ENSG00000279835	AL121785.1	0	0	0	0
ENSG00000279836	AP002967.1	0	0	0	0
ENSG00000279837	AC112694.2	0.034032	0	0	0.04363
ENSG00000279838	AL356273.3	0.266512	0.70409	16.306399	0.839833
ENSG00000279839	AL512383.1	0	0	0	0
ENSG00000279840	AC004801.7	0	0	0	0
ENSG00000279841	AC092135.3	0.409901	0.408761	5.142834	0.618157
ENSG00000279842	AC007603.2	0	0	0	0
ENSG00000279844	AC096656.1	0	0	0	0
ENSG00000279845	AC097372.2	0	0	0.243321	0
ENSG00000279846	AC015660.4	0	0.07574	0	0
ENSG00000279847	C8orf87	0	0	0	0
ENSG00000279848	AL008638.4	0	0	0	0
ENSG00000279851	CR382287.2	0.0114	0.016809	0.119579	0.073067
ENSG00000279852	AC083964.2	0	0	0	0
ENSG00000279853	AC004453.2	0	0	0.213599	0
ENSG00000279855	AC005618.2	0	0	0	0
ENSG00000279856	AC106733.1	0	0	0	0
ENSG00000279858	AC068880.4	0	0.091777	0.221435	0.080932
ENSG00000279859	AC093323.2	0.086266	0.147928	0	0.225931
ENSG00000279860	AC008568.2	0	0	0	0
ENSG00000279861	AC073548.1	0.879709	1.312755	33.427174	1.118338
ENSG00000279862	AC092964.1	0	0	0	0
ENSG00000279863	AC069547.1	0	0	0	0
ENSG00000279864	AC124864.2	0	0	0	0
ENSG00000279865	AC006511.3	0.025059	0.036944	0.175246	0.096365
ENSG00000279869	AC022418.1	0	0	0	0
ENSG00000279872	AC006435.4	0	0	0	0
ENSG00000279873	LINC01126	0.191756	0.645831	4.263071	1.545071
ENSG00000279874	AC064859.1	0	0	0	0
ENSG00000279875	AC074029.4	0	0	0	0
ENSG00000279876	AC079248.3	0	0	0	0
ENSG00000279878	AP003108.5	0	0	0	0
ENSG00000279879	AC091152.4	0	0.008988	0.027777	0.023407
ENSG00000279880	AC134407.3	0.226192	0.274312	1.129901	0.107128
ENSG00000279881	AC041040.1	0	0	0	0
ENSG00000279882	AC112702.1	0.104151	0	0	0.266612
ENSG00000279883	AC010480.1	0	0	1.251192	0
ENSG00000279884	AC010894.5	0.285886	1.106858	0.636922	1.599268
ENSG00000279885	AP005060.1	0	0	0.093863	0
